<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,02/11/18,02:41,6342.9400000,6342.9400000,6342.9300000,6342.9400000,2
GDAX.BTC-USD,1,02/11/18,02:42,6342.9300000,6343.0000000,6342.9300000,6343.0000000,9
GDAX.BTC-USD,1,02/11/18,02:43,6343.0000000,6343.0000000,6342.9900000,6343.0000000,1
GDAX.BTC-USD,1,02/11/18,02:44,6343.0000000,6343.0000000,6342.9900000,6343.0000000,1
GDAX.BTC-USD,1,02/11/18,02:45,6343.0000000,6343.0000000,6342.9900000,6343.0000000,1
GDAX.BTC-USD,1,02/11/18,02:46,6343.0000000,6343.0000000,6342.9900000,6343.0000000,1
GDAX.BTC-USD,1,02/11/18,02:47,6342.9900000,6343.0000000,6342.9900000,6343.0000000,1
GDAX.BTC-USD,1,02/11/18,02:48,6342.9900000,6343.0000000,6342.9300000,6342.9400000,1
GDAX.BTC-USD,1,02/11/18,02:49,6342.9400000,6342.9400000,6342.9300000,6342.9300000,3
GDAX.BTC-USD,1,02/11/18,02:50,6342.9300000,6342.9400000,6342.9300000,6342.9400000,1
GDAX.BTC-USD,1,02/11/18,02:51,6342.9400000,6342.9400000,6342.9300000,6342.9400000,1
GDAX.BTC-USD,1,02/11/18,02:52,6342.9400000,6342.9400000,6342.9300000,6342.9400000,2
GDAX.BTC-USD,1,02/11/18,02:53,6342.9300000,6342.9400000,6342.9300000,6342.9400000,2
GDAX.BTC-USD,1,02/11/18,02:54,6342.9400000,6342.9400000,6342.9300000,6342.9400000,1
GDAX.BTC-USD,1,02/11/18,02:55,6342.9400000,6342.9400000,6342.9300000,6342.9400000,2
GDAX.BTC-USD,1,02/11/18,02:56,6342.9400000,6342.9400000,6342.9300000,6342.9400000,2
GDAX.BTC-USD,1,02/11/18,02:57,6342.9300000,6342.9400000,6342.9300000,6342.9400000,3
GDAX.BTC-USD,1,02/11/18,02:58,6342.9400000,6342.9400000,6342.9300000,6342.9300000,1
GDAX.BTC-USD,1,02/11/18,02:59,6342.9400000,6342.9400000,6342.9300000,6342.9400000,1
GDAX.BTC-USD,1,02/11/18,03:00,6342.9300000,6344.0000000,6342.9300000,6344.0000000,13
GDAX.BTC-USD,1,02/11/18,03:01,6344.0000000,6344.0000000,6343.9900000,6344.0000000,3
GDAX.BTC-USD,1,02/11/18,03:02,6344.0000000,6344.6500000,6343.9900000,6344.6400000,3
GDAX.BTC-USD,1,02/11/18,03:03,6344.6400000,6345.0000000,6344.6400000,6344.6700000,17
GDAX.BTC-USD,1,02/11/18,03:04,6344.7100000,6345.0000000,6344.6400000,6344.6400000,3
GDAX.BTC-USD,1,02/11/18,03:05,6344.6400000,6344.9500000,6344.6400000,6344.9000000,2
GDAX.BTC-USD,1,02/11/18,03:06,6344.9500000,6345.0000000,6344.6500000,6344.9300000,2
GDAX.BTC-USD,1,02/11/18,03:07,6344.9400000,6345.0000000,6344.9400000,6345.0000000,1
GDAX.BTC-USD,1,02/11/18,03:08,6344.9900000,6345.0000000,6344.9900000,6345.0000000,2
GDAX.BTC-USD,1,02/11/18,03:09,6344.9900000,6347.5400000,6344.9900000,6347.5400000,2
GDAX.BTC-USD,1,02/11/18,03:10,6347.5400000,6348.8400000,6346.4600000,6346.4700000,4
GDAX.BTC-USD,1,02/11/18,03:11,6346.4700000,6348.6700000,6344.9400000,6347.9900000,4
GDAX.BTC-USD,1,02/11/18,03:12,6347.9600000,6347.9600000,6347.9500000,6347.9600000,1
GDAX.BTC-USD,1,02/11/18,03:13,6347.9500000,6349.5000000,6347.9500000,6349.4900000,2
GDAX.BTC-USD,1,02/11/18,03:14,6349.4400000,6349.5000000,6349.4400000,6349.5000000,1
GDAX.BTC-USD,1,02/11/18,03:15,6349.5000000,6349.5000000,6349.4900000,6349.5000000,2
GDAX.BTC-USD,1,02/11/18,03:16,6349.5000000,6349.9900000,6349.4900000,6349.9900000,5
GDAX.BTC-USD,1,02/11/18,03:17,6349.9900000,6349.9900000,6349.9800000,6349.9900000,7
GDAX.BTC-USD,1,02/11/18,03:18,6349.9800000,6350.5200000,6349.9800000,6350.5200000,7
GDAX.BTC-USD,1,02/11/18,03:19,6350.5200000,6354.5500000,6350.5200000,6354.5500000,2
GDAX.BTC-USD,1,02/11/18,03:20,6354.5500000,6354.5900000,6352.3400000,6354.5900000,4
GDAX.BTC-USD,1,02/11/18,03:21,6353.4300000,6354.7000000,6353.4300000,6354.7000000,3
GDAX.BTC-USD,1,02/11/18,03:22,6354.7000000,6354.7100000,6354.7000000,6354.7100000,1
GDAX.BTC-USD,1,02/11/18,03:23,6354.7100000,6354.7100000,6352.7500000,6352.7500000,3
GDAX.BTC-USD,1,02/11/18,03:24,6352.7500000,6352.7600000,6352.3600000,6352.3700000,0
GDAX.BTC-USD,1,02/11/18,03:25,6352.3700000,6352.3700000,6351.0000000,6351.0100000,6
GDAX.BTC-USD,1,02/11/18,03:26,6351.0100000,6352.0000000,6351.0000000,6351.9800000,3
GDAX.BTC-USD,1,02/11/18,03:27,6351.9800000,6352.0000000,6351.3700000,6352.0000000,3
GDAX.BTC-USD,1,02/11/18,03:28,6352.0000000,6352.0000000,6351.9900000,6352.0000000,1
GDAX.BTC-USD,1,02/11/18,03:29,6352.0000000,6352.0000000,6351.1100000,6351.1200000,2
GDAX.BTC-USD,1,02/11/18,03:30,6351.1100000,6351.2600000,6351.1100000,6351.2600000,3
GDAX.BTC-USD,1,02/11/18,03:31,6351.2100000,6351.2200000,6351.1200000,6351.1200000,5
GDAX.BTC-USD,1,02/11/18,03:32,6351.1200000,6351.1300000,6351.1200000,6351.1300000,5
GDAX.BTC-USD,1,02/11/18,03:33,6351.1300000,6351.1300000,6351.1100000,6351.1200000,2
GDAX.BTC-USD,1,02/11/18,03:34,6351.1200000,6352.0000000,6351.1100000,6352.0000000,4
GDAX.BTC-USD,1,02/11/18,03:35,6351.9900000,6352.0000000,6351.9900000,6351.9900000,2
GDAX.BTC-USD,1,02/11/18,03:36,6352.0000000,6352.0000000,6351.9900000,6352.0000000,1
GDAX.BTC-USD,1,02/11/18,03:37,6352.0000000,6352.0000000,6351.9900000,6352.0000000,2
GDAX.BTC-USD,1,02/11/18,03:38,6352.0000000,6352.0000000,6351.9900000,6352.0000000,1
GDAX.BTC-USD,1,02/11/18,03:39,6352.0000000,6352.0000000,6351.9900000,6352.0000000,1
GDAX.BTC-USD,1,02/11/18,03:40,6352.0000000,6352.0000000,6351.9900000,6352.0000000,1
GDAX.BTC-USD,1,02/11/18,03:41,6352.0000000,6352.0000000,6351.9900000,6352.0000000,4
GDAX.BTC-USD,1,02/11/18,03:42,6352.0000000,6352.0000000,6351.9900000,6352.0000000,2
GDAX.BTC-USD,1,02/11/18,03:43,6352.0000000,6352.0000000,6351.9900000,6352.0000000,1
GDAX.BTC-USD,1,02/11/18,03:44,6351.9900000,6358.1200000,6351.9900000,6358.1200000,38
GDAX.BTC-USD,1,02/11/18,03:45,6358.1100000,6358.1200000,6357.4900000,6357.5000000,5
GDAX.BTC-USD,1,02/11/18,03:46,6357.5000000,6359.0200000,6357.4900000,6359.0200000,1
GDAX.BTC-USD,1,02/11/18,03:47,6359.0200000,6359.5100000,6359.0100000,6359.5100000,3
GDAX.BTC-USD,1,02/11/18,03:48,6359.5100000,6359.5100000,6359.5000000,6359.5100000,3
GDAX.BTC-USD,1,02/11/18,03:49,6359.5100000,6360.0000000,6359.5100000,6360.0000000,5
GDAX.BTC-USD,1,02/11/18,03:50,6360.0000000,6360.0000000,6359.9900000,6360.0000000,2
GDAX.BTC-USD,1,02/11/18,03:51,6360.0000000,6360.0000000,6359.9900000,6360.0000000,2
GDAX.BTC-USD,1,02/11/18,03:52,6360.0000000,6360.0000000,6359.9900000,6360.0000000,2
GDAX.BTC-USD,1,02/11/18,03:53,6360.0000000,6360.0000000,6359.9900000,6360.0000000,2
GDAX.BTC-USD,1,02/11/18,03:54,6360.0000000,6360.9900000,6359.9900000,6360.9900000,12
GDAX.BTC-USD,1,02/11/18,03:55,6360.9900000,6360.9900000,6360.9800000,6360.9900000,1
GDAX.BTC-USD,1,02/11/18,03:56,6360.9900000,6362.1200000,6360.9800000,6362.1200000,2
GDAX.BTC-USD,1,02/11/18,03:57,6362.1200000,6363.3500000,6362.1200000,6363.3500000,1
GDAX.BTC-USD,1,02/11/18,03:58,6363.3500000,6363.7600000,6363.3400000,6363.7600000,2
GDAX.BTC-USD,1,02/11/18,03:59,6363.7600000,6376.0000000,6363.7500000,6374.4100000,23
GDAX.BTC-USD,1,02/11/18,04:00,6374.4200000,6378.7700000,6374.4200000,6378.7700000,7
GDAX.BTC-USD,1,02/11/18,04:01,6378.7700000,6378.7700000,6378.7600000,6378.7700000,4
GDAX.BTC-USD,1,02/11/18,04:02,6378.7700000,6378.7700000,6370.1000000,6370.1100000,14
GDAX.BTC-USD,1,02/11/18,04:03,6370.1000000,6370.1100000,6370.1000000,6370.1100000,4
GDAX.BTC-USD,1,02/11/18,04:04,6370.1100000,6370.1100000,6369.6500000,6369.6600000,9
GDAX.BTC-USD,1,02/11/18,04:05,6369.6500000,6369.6600000,6365.8200000,6367.1500000,2
GDAX.BTC-USD,1,02/11/18,04:06,6366.4800000,6367.3000000,6366.4800000,6366.8700000,14
GDAX.BTC-USD,1,02/11/18,04:07,6366.8700000,6366.8700000,6366.8600000,6366.8700000,2
GDAX.BTC-USD,1,02/11/18,04:08,6366.8700000,6366.8700000,6366.8600000,6366.8700000,3
GDAX.BTC-USD,1,02/11/18,04:09,6366.8700000,6366.8700000,6366.8600000,6366.8700000,3
GDAX.BTC-USD,1,02/11/18,04:10,6366.8700000,6368.3900000,6366.8600000,6366.8700000,4
GDAX.BTC-USD,1,02/11/18,04:11,6366.8700000,6368.6400000,6366.8600000,6368.6400000,3
GDAX.BTC-USD,1,02/11/18,04:12,6368.6400000,6370.0600000,6368.6300000,6370.0600000,1
GDAX.BTC-USD,1,02/11/18,04:13,6370.1100000,6370.1100000,6370.1000000,6370.1100000,1
GDAX.BTC-USD,1,02/11/18,04:14,6370.1100000,6370.1100000,6370.1000000,6370.1100000,2
